序号,城市,区域,详细区域,区域分类,标题,链接,面积,朝向,房间信息,价格(元/月),标签,品牌,图片链接,房源编码,抓取时间
11,杭州,西湖区,西湖区-之江-西湖墅,西湖区,整租·西湖墅 1室1厅 北,https://hz.lianjia.com/zufang/HZ2090709935812771840.html,52.97㎡,北,1室1厅1卫,1900,精装,贝壳优选,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2090709935812771840,2025/12/9 22:07
12,杭州,西湖区,仅剩1间,仅剩1间,独栋·华皙 摩嗨公寓留下店 欢迎实习生入住免押金 1室1厅,https://hz.lianjia.com/apartment/100008.html,27.00㎡,1间在租,1室1厅1卫,1050,精装,华皙,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,855965,2025/12/9 22:07
13,杭州,西湖区,西湖区-三墩-招商融信天澜,西湖区,整租·招商融信天澜 4室2厅 南,https://hz.lianjia.com/zufang/HZ2108402142497734656.html,133.00㎡,南,4室2厅2卫,5300,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2108402142497734656,2025/12/9 22:07
14,杭州,西湖区,仅剩1间,仅剩1间,独栋·华皙 摩嗨公寓留下店 黄龙上班可住通勤方便 1室1厅,https://hz.lianjia.com/apartment/100008.html,27.00㎡,1间在租,1室1厅1卫,1099,精装,华皙,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,854864,2025/12/9 22:07
15,杭州,西湖区,西湖区-三墩-滨江钱江翠语彩虹里,西湖区,整租·滨江钱江翠语彩虹里 3室2厅 南,https://hz.lianjia.com/zufang/HZ2108461184742064128.html,108.00㎡,南,3室2厅2卫,5500,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2108461184742064128,2025/12/9 22:07
16,杭州,西湖区,仅剩1间,仅剩1间,独栋·宁巢公寓 嘉绿店 【宁巢整租公寓】两室一厅 押一付一 民用水电 拎包入住 2室1厅,https://hz.lianjia.com/apartment/101220.html,63.67㎡,1间在租,2室1厅1卫,2860,精装,宁巢公寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,867238,2025/12/9 22:07
17,杭州,西湖区,仅剩1间,仅剩1间,独栋·华皙 西湖大厦学院路店 西湖区网红小房，美少女最喜欢 1室1厅,https://hz.lianjia.com/apartment/90374.html,30.00㎡,1间在租,1室1厅1卫,2400,精装,华皙,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,765482,2025/12/9 22:07
18,杭州,西湖区,西湖区-西溪-坤和求是里,西湖区,整租·坤和求是里 3室2厅 南/北,https://hz.lianjia.com/zufang/HZ2063620459861114880.html,127.00㎡,南 北,3室2厅2卫,6500,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2063620459861114880,2025/12/9 22:07
19,杭州,西湖区,仅剩1间,仅剩1间,独栋·杭州银城佳遇 三墩店 无中介费精装可月付押一付一 1室1厅,https://hz.lianjia.com/apartment/46188.html,28.00㎡,1间在租,1室1厅1卫,1300,精装,杭州银城佳遇,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,585475,2025/12/9 22:07
20,杭州,西湖区,西湖区-西溪-坤和求是里,西湖区,整租·坤和求是里 3室1厅 南/北,https://hz.lianjia.com/zufang/HZ2077641504129548288.html,133.00㎡,南 北,3室1厅2卫,6700,精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2077641504129548288,2025/12/9 22:07
21,杭州,西湖区,西湖区-黄龙-天目山路,西湖区,整租·天目山路 1室1厅 南,https://hz.lianjia.com/zufang/HZ2073245108244840448.html,44.27㎡,南,1室1厅1卫,2600,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2073245108244840448,2025/12/9 22:07
22,杭州,西湖区,仅剩1间,仅剩1间,独栋·杭州银城佳遇 三墩店 特价房可短租月付！独居！直租无中介！ 开间,https://hz.lianjia.com/apartment/46188.html,20.00㎡,1间在租,1室0厅1卫,1000,精装,杭州银城佳遇,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,413303,2025/12/9 22:07
23,杭州,西湖区,西湖区-申花-浙港国际,西湖区,整租·浙港国际 2室1厅 北,https://hz.lianjia.com/zufang/HZ2076502716179283968.html,55.92㎡,北,2室1厅1卫,3700,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2076502716179283968,2025/12/9 22:07
24,杭州,西湖区,西湖区-转塘-西湖国际茶博城,西湖区,整租·西湖国际茶博城 1室1厅 南,https://hz.lianjia.com/zufang/HZ2074069193518481408.html,61.00㎡,南,1室1厅1卫,2700,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2074069193518481408,2025/12/9 22:07
25,杭州,西湖区,西湖区-西溪-山缘公寓,西湖区,整租·山缘公寓 5室2厅 南,https://hz.lianjia.com/zufang/HZ2103686021806817280.html,185.00㎡,南,5室2厅2卫,4000,,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2103686021806817280,2025/12/9 22:07
26,杭州,西湖区,西湖区-文教-石灰桥新村,西湖区,整租·石灰桥新村 2室1厅 南,https://hz.lianjia.com/zufang/HZ2108425669649104896.html,45.00㎡,南,2室1厅1卫,2800,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2108425669649104896,2025/12/9 22:07
27,杭州,西湖区,仅剩1间,仅剩1间,独栋·宁巢公寓 嘉绿店 【宁巢整租公寓】三室一厅 押一付一 民用水电 拎包入住 3室1厅,https://hz.lianjia.com/apartment/101220.html,88.13㎡,1间在租,3室1厅1卫,4230,精装,宁巢公寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,864415,2025/12/9 22:07
28,杭州,西湖区,仅剩1间,仅剩1间,独栋·宁巢公寓 村口家园店 整租 宁巢蓝领公寓！高性价比！国企直租！ 3室1厅,https://hz.lianjia.com/apartment/96146.html,106.93㎡,1间在租,3室1厅1卫,1975,精装,宁巢公寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,835113,2025/12/9 22:07
29,杭州,西湖区,仅剩1间,仅剩1间,独栋·红寓 国际花园店 三个月起租 黄龙EAC文三路 阳光景观一居室2003 1室1厅,https://hz.lianjia.com/apartment/73709.html,55.00㎡,1间在租,1室1厅1卫,3500,精装,红寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,816449,2025/12/9 22:07
30,杭州,西湖区,仅剩1间,仅剩1间,独栋·红寓 国际花园店 三个月起租 黄龙 EAC 文三路 浙大西溪温馨一居室2008 1室1厅,https://hz.lianjia.com/apartment/73709.html,55.00㎡,1间在租,1室1厅1卫,3500,精装,红寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,673978,2025/12/9 22:07
31,杭州,西湖区,西湖区-转塘-云都汇中心,西湖区,整租·云都汇中心 2室1厅 南,https://hz.lianjia.com/zufang/HZ1898714597406277632.html,39.70㎡,南,2室1厅1卫,2500,精装,贝壳优选,"https://image1.ljcdn.com/110000-inspection/pc0_cb6TqrIIv.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",HZ1898714597406277632,2025/12/9 22:07
32,杭州,西湖区,西湖区-转塘-定山西苑二区,西湖区,整租·定山西苑二区 3室1厅 南,https://hz.lianjia.com/zufang/HZ2090353983561400320.html,137.00㎡,南,3室1厅2卫,4500,,,"https://image1.ljcdn.com/110000-inspection/pc1_VrK4AJAan.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",HZ2090353983561400320,2025/12/9 22:07
33,杭州,西湖区,西湖区-三墩-金地林溪里,西湖区,整租·金地林溪里 3室2厅 南,https://hz.lianjia.com/zufang/HZ1917571026489704448.html,89.00㎡,南,3室2厅2卫,3400,精装,贝壳优选,https://image1.ljcdn.com/lease-image/house/a8639d7f87d1bc1c591930c16fc94f3f.jpeg.250x182.jpg,HZ1917571026489704448,2025/12/9 22:07
34,杭州,西湖区,仅剩1间,仅剩1间,独栋·冠寓 西溪蓝保店 可短租月付地铁口押一付一整租公寓 开间,https://hz.lianjia.com/apartment/1459.html,23.00㎡,1间在租,1室0厅1卫,1315,精装,冠寓,https://image1.ljcdn.com/wanjia/9dde183a6228d201b22c8264aa5198fd-1762422387628/aa00bfecbdf625657bd9247c30a1f227.jpg.250x182.jpg,855491,2025/12/9 22:07
35,杭州,西湖区,西湖区-西溪-西溪九号,西湖区,整租·西溪九号 2室1厅 南,https://hz.lianjia.com/zufang/HZ1921512353988345856.html,48.63㎡,南,2室1厅1卫,3100,精装,,https://image1.ljcdn.com/lease-image/house/b3ee5cb7d373c9bd3e12abbbeb558527.jpeg.250x182.jpg,HZ1921512353988345856,2025/12/9 22:07
36,杭州,西湖区,20.00-35.00㎡,20,独栋·科寓 之江之芯店 地铁6号线枫桦西路旁 北欧风精装白领房 限时特价 1室1厅,https://hz.lianjia.com/apartment/45655.html,6间在租,1室1厅1卫,,1880-2080,精装,科寓,https://image1.ljcdn.com/wanjia/f6b96fc9efb95d443928bf3d3a3162b4-1755306984336/40b765150216c64a1ec4747cc220ac48.jpg.250x182.jpg,409659,2025/12/9 22:07
37,杭州,西湖区,西湖区-黄龙-曙光路158号,西湖区,整租·曙光路158号 3室1厅 南,https://hz.lianjia.com/zufang/HZ1922880034754789376.html,85.61㎡,南,3室1厅1卫,4300,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ1922880034754789376,2025/12/9 22:07
38,杭州,西湖区,西湖区-西溪-坤和和家园,西湖区,整租·坤和和家园 1室1厅 南,https://hz.lianjia.com/zufang/HZ2083937086334828544.html,65.00㎡,南,1室1厅1卫,3200,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2083937086334828544,2025/12/9 22:07
39,杭州,西湖区,西湖区-三墩-金地自在城东苑,西湖区,整租·金地自在城东苑 3室2厅 南,https://hz.lianjia.com/zufang/HZ1822952334875951104.html,89.29㎡,南,3室2厅1卫,3300,精装,贝壳优选,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ1822952334875951104,2025/12/9 22:07
40,杭州,西湖区,仅剩1间,仅剩1间,独栋·嘉仁公寓 汇禾领府店 【首月减500】边套户型 阳光房 通风好 开间,https://hz.lianjia.com/apartment/89272.html,18.00㎡,1间在租,1室0厅1卫,1300,精装,嘉仁公寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,860644,2025/12/9 22:07
41,杭州,西湖区,西湖区-三墩-五幸银座,西湖区,整租·五幸银座 1室0厅 复式 西北,https://hz.lianjia.com/zufang/HZ1854461766554091520.html,25.00㎡,西北,1室0厅1卫,1300,精装,贝壳优选,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ1854461766554091520,2025/12/9 22:07
42,杭州,西湖区,仅剩3间,仅剩3间,独栋·CCB建融家园 紫金港社区 民用水电 限时短租 末月租金0元 4号线池华街地铁口 柜床 1室1厅,https://hz.lianjia.com/apartment/95387.html,15.00-17.00㎡,3间在租,1室1厅1卫,900-1070,精装,CCB建融家园,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,807736,2025/12/9 22:07
43,杭州,西湖区,西湖区-三墩-建发金辉紫璋台,西湖区,整租·建发金辉紫璋台 3室2厅 南,https://hz.lianjia.com/zufang/HZ2107707618188328960.html,95.00㎡,南,3室2厅2卫,4700,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2107707618188328960,2025/12/9 22:07
44,杭州,西湖区,仅剩2间,仅剩2间,独栋·CCB建融家园 紫金港社区 4号线池华街地铁房 短租免1个月租金 阿里 华大 西湖科技园 西湖大学 1室1厅,https://hz.lianjia.com/apartment/95387.html,23.00-25.00㎡,2间在租,1室1厅1卫,1350-1400,精装,CCB建融家园,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,810858,2025/12/9 22:07
45,杭州,西湖区,西湖区-文教-白荡海人家,西湖区,整租·白荡海人家 3室1厅 南,https://hz.lianjia.com/zufang/HZ2083782603277598720.html,91.34㎡,南,3室1厅1卫,4000,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2083782603277598720,2025/12/9 22:07
46,杭州,西湖区,仅剩1间,仅剩1间,独栋·煦和公寓 古荡湾新村店 独卫直租无中介！ 可短租月付 开间,https://hz.lianjia.com/apartment/98942.html,20.00㎡,1间在租,1室0厅1卫,1000,精装,煦和公寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,842139,2025/12/9 22:07
47,杭州,西湖区,仅剩1间,仅剩1间,独栋·煦和公寓 古荡湾新村店 近地铁！直租可短租月付 开间,https://hz.lianjia.com/apartment/98942.html,35.00㎡,1间在租,1室0厅1卫,1500,精装,煦和公寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,842129,2025/12/9 22:07
48,杭州,西湖区,西湖区-转塘-世京云峯,西湖区,整租·世京云峯 1室1厅 南,https://hz.lianjia.com/zufang/HZ2090378967931420672.html,40.00㎡,南,1室1厅1卫,2200,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2090378967931420672,2025/12/9 22:07
49,杭州,西湖区,仅剩1间,仅剩1间,独栋·世联红璞公寓 西溪社区 朝南大户型(临近地铁 1室1厅,https://hz.lianjia.com/apartment/39946.html,35.00㎡,1间在租,1室1厅1卫,2100,精装,世联红璞公寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,372434,2025/12/9 22:07
50,杭州,西湖区,西湖区-古荡-古荡新村东区,西湖区,整租·古荡新村东区 2室2厅 南,https://hz.lianjia.com/zufang/HZ2107667241444048896.html,75.00㎡,南,2室2厅1卫,3500,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2107667241444048896,2025/12/9 22:07
51,杭州,西湖区,西湖区-嘉绿-嘉绿北苑,西湖区,整租·嘉绿北苑 2室1厅 跃层 南,https://hz.lianjia.com/zufang/HZ2108480223640027136.html,58.94㎡,南,2室1厅1卫,2500,精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2108480223640027136,2025/12/9 22:07
52,杭州,西湖区,仅剩1间,仅剩1间,独栋·世联红璞公寓 西溪社区 地铁三号线两室 2室1厅,https://hz.lianjia.com/apartment/39946.html,50.00㎡,1间在租,2室1厅1卫,2310,精装,世联红璞公寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,460867,2025/12/9 22:07
53,杭州,西湖区,西湖区-转塘-水韵枫桦,西湖区,整租·水韵枫桦 1室1厅 南,https://hz.lianjia.com/zufang/HZ2108133432566480896.html,55.00㎡,南,1室1厅1卫,3300,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2108133432566480896,2025/12/9 22:07
54,杭州,西湖区,西湖区-西溪-西溪新城市,西湖区,整租·西溪新城市 2室2厅 南,https://hz.lianjia.com/zufang/HZ2107437938357829632.html,36.00㎡,南,2室2厅2卫,3800,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2107437938357829632,2025/12/9 22:07
55,杭州,西湖区,西湖区-文教-金都城市芯宇,西湖区,整租·金都城市芯宇 2室1厅 南,https://hz.lianjia.com/zufang/HZ2107433981044588544.html,98.88㎡,南,2室1厅1卫,5220,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2107433981044588544,2025/12/9 22:07
56,杭州,西湖区,仅剩1间,仅剩1间,独栋·科寓 之江之芯店 边套精装loft 学生特价开学季首月租金减免 1室1厅,https://hz.lianjia.com/apartment/45655.html,35.00㎡,1间在租,1室1厅1卫,2080,精装,科寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,471465,2025/12/9 22:07
57,杭州,西湖区,仅剩1间,仅剩1间,独栋·泊寓 文一社区 【近地铁仅限长租 送床上4件套 先到先得】丰潭路地铁站 性价比超高小单间 开间,https://hz.lianjia.com/apartment/2598.html,22.00㎡,1间在租,1室0厅1卫,1477,,泊寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,361413,2025/12/9 22:07
58,杭州,西湖区,西湖区-转塘-星云,西湖区,整租·星云 1室1厅 南,https://hz.lianjia.com/zufang/HZ1823923437156958208.html,45.39㎡,南,1室1厅1卫,2400,精装,贝壳优选,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ1823923437156958208,2025/12/9 22:07
59,杭州,西湖区,西湖区-嘉绿-嘉绿西苑,西湖区,整租·嘉绿西苑 3室2厅 南,https://hz.lianjia.com/zufang/HZ1890269430470934528.html,106.00㎡,南,3室2厅1卫,4800,精装,贝壳优选,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ1890269430470934528,2025/12/9 22:07
60,杭州,西湖区,西湖区-转塘-之江富城,西湖区,整租·之江富城 2室2厅 南,https://hz.lianjia.com/zufang/HZ2060263795980238848.html,41.49㎡,南,2室2厅1卫,2200,,贝壳优选,https://image1.ljcdn.com/lease-image/house/b7b82ac7310924dabceb7656e7c9a27a.jpeg.250x182.jpg,HZ2060263795980238848,2025/12/9 22:08
61,杭州,西湖区,西湖区-申花-五洲国际广场,西湖区,整租·五洲国际广场 2室1厅 南/西,https://hz.lianjia.com/zufang/HZ2108553831670349824.html,43.15㎡,南 西,2室1厅1卫,2800,,链家,"https://image1.ljcdn.com/110000-inspection/2457e15f-e233-4c1e-b14e-ba36d55ecfda_1000.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",HZ2108553831670349824,2025/12/9 22:08
62,杭州,西湖区,西湖区-转塘-贝利云栖中心,西湖区,整租·贝利云栖中心 1室1厅 南,https://hz.lianjia.com/zufang/HZ2026250335235866624.html,45.63㎡,南,1室1厅1卫,2300,精装,贝壳优选,"https://image1.ljcdn.com/110000-inspection/pc0_asohe3nGk.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",HZ2026250335235866624,2025/12/9 22:08
63,杭州,西湖区,西湖区-转塘-禹洲滨之澜苑,西湖区,整租·禹洲滨之澜苑 1室1厅 南,https://hz.lianjia.com/zufang/HZ2075026602026074112.html,34.22㎡,南,1室1厅1卫,1900,精装,贝壳优选,"https://image1.ljcdn.com/110000-inspection/apc_jak760HSJ_1.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",HZ2075026602026074112,2025/12/9 22:08
64,杭州,西湖区,西湖区-申花-五洲国际广场,西湖区,整租·五洲国际广场 1室1厅 北,https://hz.lianjia.com/zufang/HZ2064549671421870080.html,30.83㎡,北,1室1厅1卫,2330,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2064549671421870080,2025/12/9 22:08
65,杭州,西湖区,西湖区-黄龙-胜利新村,西湖区,整租·胜利新村 2室1厅 南,https://hz.lianjia.com/zufang/HZ2067431832990777344.html,57.06㎡,南,2室1厅1卫,4300,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2067431832990777344,2025/12/9 22:08
66,杭州,西湖区,西湖区-申花-浙港国际,西湖区,整租·浙港国际 2室1厅 北,https://hz.lianjia.com/zufang/HZ2072948786837061632.html,31.96㎡,北,2室1厅1卫,2700,精装,贝壳优选,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2072948786837061632,2025/12/9 22:08
67,杭州,西湖区,西湖区-文教-今日嘉园,西湖区,整租·今日嘉园 1室1厅 南,https://hz.lianjia.com/zufang/HZ2084283742754439168.html,51.40㎡,南,1室1厅1卫,3100,,贝壳优选,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2084283742754439168,2025/12/9 22:08
68,杭州,西湖区,西湖区-翠苑-翠苑四区,西湖区,整租·翠苑四区 1室1厅 南,https://hz.lianjia.com/zufang/HZ2095140583034060800.html,36.70㎡,南,1室1厅1卫,2500,精装,贝壳优选,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2095140583034060800,2025/12/9 22:08
69,杭州,西湖区,西湖区-转塘-水韵枫桦,西湖区,合租·水韵枫桦 4居室 南卧,https://hz.lianjia.com/zufang/HZ2092108986324090880.html,25.00㎡,南,4室0厅4卫,1500,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2092108986324090880,2025/12/9 22:08
70,杭州,西湖区,西湖区-之江-康迪新座之江印,西湖区,整租·康迪新座之江印 1室1厅 北,https://hz.lianjia.com/zufang/HZ2025929730577924096.html,50.00㎡,北,1室1厅1卫,2600,精装,贝壳优选,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2025929730577924096,2025/12/9 22:08
71,杭州,西湖区,西湖区-西溪-融创河滨之城雨澜轩,西湖区,合租·融创河滨之城雨澜轩 2居室 南卧,https://hz.lianjia.com/zufang/HZ2105953235729645568.html,70.00㎡,南,2室1厅1卫,3800,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2105953235729645568,2025/12/9 22:08
72,杭州,西湖区,西湖区-文教-西湖大厦,西湖区,整租·西湖大厦 1室0厅 东,https://hz.lianjia.com/zufang/HZ2021233103409774592.html,28.00㎡,东,1室0厅1卫,2300,精装,贝壳优选,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2021233103409774592,2025/12/9 22:08
73,杭州,西湖区,西湖区-申花-五洲国际广场,西湖区,整租·五洲国际广场 1室1厅 北,https://hz.lianjia.com/zufang/HZ2061363633270554624.html,30.83㎡,北,1室1厅1卫,2350,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2061363633270554624,2025/12/9 22:08
74,杭州,西湖区,西湖区-文三-文三新村,西湖区,整租·文三新村 3室1厅 南,https://hz.lianjia.com/zufang/HZ2108118459207385088.html,90.07㎡,南,3室1厅1卫,5000,,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,HZ2108118459207385088,2025/12/9 22:08
