序号,城市,区域,详细区域,区域分类,标题,链接,面积,朝向,房间信息,价格(元/月),标签,品牌,图片链接,房源编码,抓取时间
11,广州,天河,天河-广氮-天河智荟,天河,整租·天河智荟 2室1厅 南,https://gz.lianjia.com/zufang/GZ2078047674522664960.html,47.00㎡,南,2室1厅1卫,3300,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2078047674522664960,2025/12/10 10:58
12,广州,天河,天河-棠下-骏景花园,天河,合租·骏景花园 4居室 南卧,https://gz.lianjia.com/zufang/GZ2109169486916485120.html,21.60㎡,南,4室1厅2卫,2299,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2109169486916485120,2025/12/10 10:58
13,广州,天河,天河-林和-天誉花园,天河,整租·天誉花园 2室1厅 东北,https://gz.lianjia.com/zufang/GZ2078494493903945728.html,76.00㎡,东北,2室1厅1卫,5300,精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2078494493903945728,2025/12/10 10:58
14,广州,天河,天河-智慧城-小新塘大未来,天河,合租·小新塘大未来 5居室 南卧,https://gz.lianjia.com/zufang/GZ2109145747055181824.html,8.00㎡,南,5室1厅2卫,1501,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2109145747055181824,2025/12/10 10:58
15,广州,天河,天河-天河公园-广海花园,天河,整租·广海花园 2室2厅 南,https://gz.lianjia.com/zufang/GZ2078379703005085696.html,72.00㎡,南,2室2厅1卫,3600,精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2078379703005085696,2025/12/10 10:58
16,广州,天河,天河-东圃-龙怡苑,天河,整租·龙怡苑 2室1厅 北,https://gz.lianjia.com/zufang/GZ2078822987871551488.html,100.00㎡,北,2室1厅1卫,3800,精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2078822987871551488,2025/12/10 10:58
17,广州,天河,天河-珠江新城中-高德公馆,天河,整租·高德公馆 1室1厅 西,https://gz.lianjia.com/zufang/GZ2079415816972926976.html,62.83㎡,西,1室1厅1卫,6000,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2079415816972926976,2025/12/10 10:58
18,广州,天河,天河-华景新城-华景新城芳满庭园,天河,合租·华景新城芳满庭园 5居室 南卧,https://gz.lianjia.com/zufang/GZ2075214816628178944.html,9.00㎡,南,5室1厅2卫,1501,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2075214816628178944,2025/12/10 10:58
19,广州,天河,天河-岑村-蓝天雅苑,天河,整租·蓝天雅苑 2室1厅 东,https://gz.lianjia.com/zufang/GZ2109234264292720640.html,99.00㎡,东,2室1厅1卫,4200,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2109234264292720640,2025/12/10 10:58
20,广州,天河,天河-珠江新城东-龙凤苑,天河,合租·龙凤苑 5居室 东卧,https://gz.lianjia.com/zufang/GZ2083152237600702464.html,30.00㎡,东,5室1厅1卫,2480,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2083152237600702464,2025/12/10 10:58
21,广州,天河,天河-石牌-华师大学宿舍南区,天河,整租·华师大学宿舍南区 2室1厅 南/北,https://gz.lianjia.com/zufang/GZ2060618814864752640.html,50.00㎡,南 北,2室1厅1卫,4200,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2060618814864752640,2025/12/10 10:58
22,广州,天河,天河-珠江新城东-跑马地花园,天河,合租·跑马地花园 4居室 西卧,https://gz.lianjia.com/zufang/GZ2075196383526125568.html,8.80㎡,西,4室1厅2卫,1501,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2075196383526125568,2025/12/10 10:58
23,广州,天河,天河-天河南-六运小区,天河,合租·六运小区 4居室 南卧,https://gz.lianjia.com/zufang/GZ2102982555950120960.html,30.00㎡,南,4室0厅1卫,2480,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2102982555950120960,2025/12/10 10:58
24,广州,天河,天河-天河南-六运小区,天河,合租·六运小区 4居室 南卧,https://gz.lianjia.com/zufang/GZ2075258115716022272.html,14.80㎡,南,4室1厅2卫,2058,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2075258115716022272,2025/12/10 10:58
25,广州,天河,天河-林和-威立大厦,天河,整租·威立大厦 2室1厅 西,https://gz.lianjia.com/zufang/GZ2081691183242805248.html,64.52㎡,西,2室1厅1卫,6100,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2081691183242805248,2025/12/10 10:58
26,广州,天河,天河-华景新城-珠江俊园,天河,合租·珠江俊园 4居室 西卧,https://gz.lianjia.com/zufang/GZ2075605699638853632.html,6.16㎡,西,4室1厅2卫,1291,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2075605699638853632,2025/12/10 10:58
27,广州,天河,天河-华景新城-华景新城翡翠居,天河,整租·华景新城翡翠居 3室2厅 南/北,https://gz.lianjia.com/zufang/GZ2073274746539081728.html,75.00㎡,南 北,3室2厅1卫,3600,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2073274746539081728,2025/12/10 10:58
28,广州,天河,天河-珠江新城西-丽晶华庭,天河,合租·丽晶华庭 4居室 北卧,https://gz.lianjia.com/zufang/GZ2075194150164103168.html,13.70㎡,北,4室1厅2卫,2446,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2075194150164103168,2025/12/10 10:58
29,广州,天河,天河-林和-侨林苑,天河,合租·侨林苑 4居室 北卧,https://gz.lianjia.com/zufang/GZ2001529060219420672.html,20.00㎡,北,4室0厅0卫,2600,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2001529060219420672,2025/12/10 10:58
30,广州,天河,天河-珠江新城中-盈嘉花园,天河,合租·盈嘉花园 5居室 西南卧,https://gz.lianjia.com/zufang/GZ2075347747426271232.html,13.10㎡,西南,5室1厅2卫,2268,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2075347747426271232,2025/12/10 10:58
31,广州,天河,天河-石牌-中山三院宿舍,天河,合租·中山三院宿舍 3居室 东南卧,https://gz.lianjia.com/zufang/GZ2075235526771736576.html,30.00㎡,东南,3室0厅1卫,3180,,,"https://image1.ljcdn.com/110000-inspection/pc1_qDjxLaEoA.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",GZ2075235526771736576,2025/12/10 10:58
32,广州,天河,天河-珠江新城西-星汇园,天河,合租·星汇园 4居室 南卧,https://gz.lianjia.com/zufang/GZ2059706985506406400.html,7.26㎡,南,4室1厅2卫,2058,精装,自如,https://image1.ljcdn.com/rent-house-1/img/1ff58ee12e3732eec43fc5f28f449156-1761294164468/57c2c347136ae61e5b5964f8fd3d5a2d.jpg.250x182.jpg,GZ2059706985506406400,2025/12/10 10:58
33,广州,天河,天河-东圃-东圃中学宿舍,天河,整租·东圃中学宿舍 3室2厅 南,https://gz.lianjia.com/zufang/GZ2102238670546272256.html,101.00㎡,南,3室2厅1卫,3800,精装,,"https://image1.ljcdn.com/110000-inspection/pc1_kt3AfyT5I.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",GZ2102238670546272256,2025/12/10 10:58
34,广州,天河,天河-珠江新城东-跑马地花园,天河,合租·跑马地花园 4居室 北卧,https://gz.lianjia.com/zufang/GZ2062462078236491776.html,12.02㎡,北,4室1厅2卫,1848,精装,自如,https://image1.ljcdn.com/rent-house-1/img/1ff58ee12e3732eec43fc5f28f449156-1764151282189/754eeae56978101ea930cd80efa3a908.jpg.250x182.jpg,GZ2062462078236491776,2025/12/10 10:58
35,广州,天河,天河-珠江新城东-跑马地花园三期,天河,整租·跑马地花园三期 1室1厅 东/东南,https://gz.lianjia.com/zufang/GZ2108868955278934016.html,46.25㎡,东 东南,1室1厅1卫,3200,精装,,"https://image1.ljcdn.com/110000-inspection/b9bd5f61-1a8e-4860-a0d8-2962f0b35160_1000.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",GZ2108868955278934016,2025/12/10 10:58
36,广州,天河,天河-东圃-旭景家园,天河,合租·旭景家园 3居室 南卧,https://gz.lianjia.com/zufang/GZ2064244365169000448.html,11.50㎡,南,3室1厅1卫,1501,精装,自如,https://image1.ljcdn.com/rent-house-1/img/1ff58ee12e3732eec43fc5f28f449156-1762254898770/989d8c1945d0891c24a0e8b521c551e0.jpg.250x182.jpg,GZ2064244365169000448,2025/12/10 10:58
37,广州,天河,天河-龙口西-龙口小区,天河,合租·龙口小区 6居室 南卧,https://gz.lianjia.com/zufang/GZ2073998714803847168.html,20.00㎡,南,6室1厅6卫,1660,,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2073998714803847168,2025/12/10 10:58
38,广州,天河,天河-天润路-金田花苑,天河,合租·金田花苑 4居室 南卧,https://gz.lianjia.com/zufang/GZ2064322381526073344.html,10.09㎡,南,4室1厅1卫,1669,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2064322381526073344,2025/12/10 10:58
39,广州,天河,天河-天润路-银汇华庭,天河,整租·银汇华庭 2室1厅 南,https://gz.lianjia.com/zufang/GZ2065299163880357888.html,75.00㎡,南,2室1厅1卫,4600,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2065299163880357888,2025/12/10 10:58
40,广州,天河,天河-智慧城-小新塘大未来,天河,合租·小新塘大未来 4居室 北卧,https://gz.lianjia.com/zufang/GZ2064780734610014208.html,10.10㎡,北,4室1厅2卫,1921,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2064780734610014208,2025/12/10 10:58
41,广州,天河,天河-员村-临江花园,天河,整租·临江花园 3室1厅 南/北,https://gz.lianjia.com/zufang/GZ2024764794011123712.html,100.00㎡,南 北,3室1厅1卫,4800,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2024764794011123712,2025/12/10 10:58
42,广州,天河,天河-员村-福金莲花园,天河,合租·福金莲花园 5居室 南卧,https://gz.lianjia.com/zufang/GZ2069911447755816960.html,10.56㎡,南,5室1厅3卫,1459,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2069911447755816960,2025/12/10 10:58
43,广州,天河,天河-天润路-瑞华大厦,天河,整租·瑞华大厦 2室1厅 西南,https://gz.lianjia.com/zufang/GZ2024839476051705856.html,86.00㎡,西南,2室1厅1卫,4320,,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2024839476051705856,2025/12/10 10:58
44,广州,天河,天河-天润路-东方之珠花园,天河,合租·东方之珠花园 4居室 南卧,https://gz.lianjia.com/zufang/GZ2069854064383885312.html,8.82㎡,南,4室1厅2卫,1953,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2069854064383885312,2025/12/10 10:58
45,广州,天河,天河-天润路-瑞华大厦,天河,整租·瑞华大厦 2室1厅 西南,https://gz.lianjia.com/zufang/GZ2024827991728586752.html,86.00㎡,西南,2室1厅1卫,4320,,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2024827991728586752,2025/12/10 10:58
46,广州,天河,天河-棠下-骏景花园,天河,整租·骏景花园 5室2厅 复式 东南,https://gz.lianjia.com/zufang/GZ2025077050817118208.html,350.00㎡,东南,5室2厅2卫,14800,,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2025077050817118208,2025/12/10 10:58
47,广州,天河,天河-天润路-瑞华大厦,天河,整租·瑞华大厦 2室1厅 东,https://gz.lianjia.com/zufang/GZ2025125152064274432.html,109.00㎡,东,2室1厅1卫,5468,,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2025125152064274432,2025/12/10 10:58
48,广州,天河,天河-珠江新城西-保利香槟花园,天河,合租·保利香槟花园 5居室 南卧,https://gz.lianjia.com/zufang/GZ2066190586003587072.html,16.29㎡,南,5室1厅3卫,3706,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2066190586003587072,2025/12/10 10:58
49,广州,天河,天河-棠下-骏景花园,天河,合租·骏景花园 7居室 南卧,https://gz.lianjia.com/zufang/GZ2025146817502511104.html,231.00㎡,南,7室1厅5卫,1100,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2025146817502511104,2025/12/10 10:58
50,广州,天河,天河-棠下-骏景花园,天河,合租·骏景花园 7居室 南卧,https://gz.lianjia.com/zufang/GZ2025143845808766976.html,231.00㎡,南,7室1厅5卫,2300,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2025143845808766976,2025/12/10 10:58
51,广州,天河,天河-棠下-碧丽苑,天河,整租·碧丽苑 1室1厅 东,https://gz.lianjia.com/zufang/GZ2025211273901244416.html,45.00㎡,东,1室1厅1卫,2800,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2025211273901244416,2025/12/10 10:58
52,广州,天河,天河-棠下-骏景花园,天河,合租·骏景花园 5居室 西卧,https://gz.lianjia.com/zufang/GZ2048332115929464832.html,6.15㎡,西,5室1厅2卫,1144,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2048332115929464832,2025/12/10 10:58
53,广州,天河,天河-石牌-金山轩,天河,整租·金山轩 3室2厅 南,https://gz.lianjia.com/zufang/GZ2025148606763237376.html,116.00㎡,南,3室2厅2卫,5000,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2025148606763237376,2025/12/10 10:58
54,广州,天河,天河-天河南-六运小区,天河,合租·六运小区 4居室 南卧,https://gz.lianjia.com/zufang/GZ2053397895922581504.html,9.81㎡,南,4室1厅1卫,1816,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2053397895922581504,2025/12/10 10:58
55,广州,天河,天河-珠江新城中-领峰园,天河,整租·领峰园 1室1厅 南,https://gz.lianjia.com/zufang/GZ2025540114704236544.html,82.00㎡,南,1室1厅1卫,8000,精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2025540114704236544,2025/12/10 10:58
56,广州,天河,天河-天润路-鸿景园,天河,合租·鸿景园 4居室 南卧,https://gz.lianjia.com/zufang/GZ2054793466772193280.html,12.54㎡,南,4室1厅1卫,1774,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2054793466772193280,2025/12/10 10:58
57,广州,天河,天河-珠江新城中-保利心语,天河,整租·保利心语 1室0厅 南,https://gz.lianjia.com/zufang/GZ2025858089600679936.html,12.00㎡,南,1室0厅0卫,700,,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2025858089600679936,2025/12/10 10:58
58,广州,天河,天河-员村-福金莲花园,天河,合租·福金莲花园 3居室 南卧,https://gz.lianjia.com/zufang/GZ2054900407632658432.html,8.56㎡,南,3室1厅1卫,1533,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2054900407632658432,2025/12/10 10:58
59,广州,天河,天河-珠江新城西-铂林国际公寓,天河,整租·铂林国际公寓 1室1厅 东/北,https://gz.lianjia.com/zufang/GZ2025841455632744448.html,40.00㎡,东 北,1室1厅1卫,4500,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2025841455632744448,2025/12/10 10:58
60,广州,天河,天河-天润路-穗园小区,天河,合租·穗园小区 4居室 东卧,https://gz.lianjia.com/zufang/GZ2034413861112643584.html,10.98㎡,东,4室1厅2卫,1533,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2034413861112643584,2025/12/10 10:58
61,广州,天河,天河-粤垦-华文学院,天河,整租·华文学院 3室2厅 南/北,https://gz.lianjia.com/zufang/GZ1986438484243513344.html,110.90㎡,南 北,3室2厅1卫,3300,,链家,"https://image1.ljcdn.com/110000-inspection/pc1_ojOIwgxQC_1.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",GZ1986438484243513344,2025/12/10 10:59
62,广州,天河,天河-棠下-富力天朗明居,天河,合租·富力天朗明居 4居室 南卧,https://gz.lianjia.com/zufang/GZ2079324647366590464.html,7.20㎡,南,4室1厅2卫,1249,精装,自如,https://image1.ljcdn.com/rent-house-1/img/1ff58ee12e3732eec43fc5f28f449156-1762927837448/9e7e4d9ecacd0eac143dff945b7f259b.jpg.250x182.jpg,GZ2079324647366590464,2025/12/10 10:59
63,广州,天河,天河-粤垦-财润国际大厦,天河,整租·财润国际大厦 2室1厅 西,https://gz.lianjia.com/zufang/GZ1986722307371958272.html,100.00㎡,西,2室1厅1卫,5400,精装,,"https://image1.ljcdn.com/110000-inspection/pc1_RwjeGJDZs.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",GZ1986722307371958272,2025/12/10 10:59
64,广州,天河,天河-珠江新城西-漾晴居,天河,合租·漾晴居 4居室 南卧,https://gz.lianjia.com/zufang/GZ2079320246904160256.html,11.50㎡,南,4室1厅2卫,2194,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2079320246904160256,2025/12/10 10:59
65,广州,天河,天河-汇景新城-汇景新城维纶特莱,天河,整租·汇景新城维纶特莱 4室2厅 错层 南/北,https://gz.lianjia.com/zufang/GZ1988166775140777984.html,225.00㎡,南 北,4室2厅2卫,14000,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ1988166775140777984,2025/12/10 10:59
66,广州,天河,天河-珠江新城东-跑马地花园,天河,合租·跑马地花园 4居室 南卧,https://gz.lianjia.com/zufang/GZ2079328470906699776.html,10.55㎡,南,4室1厅2卫,1774,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2079328470906699776,2025/12/10 10:59
67,广州,天河,天河-沙太南-隆基怡苑,天河,整租·隆基怡苑 2室1厅 北,https://gz.lianjia.com/zufang/GZ1987381825873379328.html,70.00㎡,北,2室1厅1卫,2300,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ1987381825873379328,2025/12/10 10:59
68,广州,天河,天河-天润路-穗园小区,天河,合租·穗园小区 4居室 北卧,https://gz.lianjia.com/zufang/GZ2079332937291005952.html,11.40㎡,北,4室1厅2卫,1564,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2079332937291005952,2025/12/10 10:59
69,广州,天河,天河-五山-茶景园,天河,整租·茶景园 3室2厅 南,https://gz.lianjia.com/zufang/GZ1987443336738242560.html,101.70㎡,南,3室2厅1卫,5800,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ1987443336738242560,2025/12/10 10:59
70,广州,天河,天河-龙口东-金海花园,天河,合租·金海花园 4居室 北卧,https://gz.lianjia.com/zufang/GZ2079809148593111040.html,8.35㎡,北,4室1厅2卫,2089,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2079809148593111040,2025/12/10 10:59
71,广州,天河,天河-珠江新城西-保利香槟花园,天河,整租·保利香槟花园 4室2厅 复式 南,https://gz.lianjia.com/zufang/GZ1987540596574650368.html,102.00㎡,南,4室2厅2卫,13300,精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ1987540596574650368,2025/12/10 10:59
72,广州,天河,天河-珠江新城东-新庆花园,天河,合租·新庆花园 4居室 西卧,https://gz.lianjia.com/zufang/GZ2079935226494058496.html,13.00㎡,西,4室1厅2卫,2026,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2079935226494058496,2025/12/10 10:59
73,广州,天河,天河-珠江新城东-誉城苑,天河,整租·誉城苑 2室1厅 西/北,https://gz.lianjia.com/zufang/GZ1989211635603996672.html,67.00㎡,西 北,2室1厅1卫,6200,,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ1989211635603996672,2025/12/10 10:59
74,广州,天河,天河-天河南-六运小区,天河,合租·六运小区 3居室 南卧,https://gz.lianjia.com/zufang/GZ2079901537152270336.html,11.70㎡,南,3室1厅1卫,1879,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2079901537152270336,2025/12/10 10:59
75,广州,天河,天河-员村-佳润临江上品,天河,整租·佳润临江上品 1室0厅 南,https://gz.lianjia.com/zufang/GZ1989280162813837312.html,12.00㎡,南,1室0厅0卫,1200,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ1989280162813837312,2025/12/10 10:59
76,广州,天河,天河-龙口西-天成大厦,天河,合租·天成大厦 4居室 南卧,https://gz.lianjia.com/zufang/GZ1988232679035764736.html,20.00㎡,南,4室0厅0卫,2200,,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ1988232679035764736,2025/12/10 10:59
77,广州,天河,天河-天河客运站-远洋天骄,天河,整租·远洋天骄 1室0厅 东,https://gz.lianjia.com/zufang/GZ1988519681249509376.html,12.00㎡,东,1室0厅0卫,600,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ1988519681249509376,2025/12/10 10:59
78,广州,天河,天河-棠下-骏景花园,天河,合租·骏景花园 4居室 北卧,https://gz.lianjia.com/zufang/GZ2087906123272159232.html,14.30㎡,北,4室1厅2卫,1743,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ2087906123272159232,2025/12/10 10:59
79,广州,天河,天河-东圃-康乐大厦,天河,整租·康乐大厦 3室2厅 东,https://gz.lianjia.com/zufang/GZ1989570383170240512.html,117.54㎡,东,3室2厅2卫,4300,精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,GZ1989570383170240512,2025/12/10 10:59
