序号,标题,链接,区域,区域分类,面积,朝向,房间信息,价格(元/月),标签,品牌,图片链接,房源编码,抓取时间
38,整租·华荣公寓 3室1厅 西北,https://bj.lianjia.com/zufang/BJ1781997193725476864.html,西城-金融街-华荣公寓,西城,134.00㎡,西北,3室1厅1卫,38000,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1781997193725476864,2025/12/8 20:31
39,整租·强佑清河新城府学上院 1室0厅 西,https://bj.lianjia.com/zufang/BJ1971477103043936256.html,海淀-清河-强佑清河新城府学上院,海淀,25.28㎡,西,1室0厅1卫,4200,精装,贝壳优选,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1971477103043936256,2025/12/8 20:31
40,整租·梨园东里 2室1厅 南/北,https://bj.lianjia.com/zufang/BJ1782635395243048960.html,通州-梨园-梨园东里,通州,74.47㎡,南 北,2室1厅1卫,3100,官方核验,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1782635395243048960,2025/12/8 20:31
41,整租·金海国际北区 6室2厅 复式 南/北,https://bj.lianjia.com/zufang/BJ1783493810311921664.html,朝阳-百子湾-金海国际北区,朝阳,339.58㎡,南 北,6室2厅4卫,35000,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1783493810311921664,2025/12/8 20:31
42,整租·新外大街甲28号 2室1厅 东/西,https://bj.lianjia.com/zufang/BJ2109211134107058176.html,西城-德胜门-新外大街甲28号,西城,47.10㎡,东 西,2室1厅1卫,5200,,贝壳优选,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ2109211134107058176,2025/12/8 20:31
43,整租·鸿坤花语墅 3室2厅 南/北,https://bj.lianjia.com/zufang/BJ1785612588701188096.html,朝阳-大望路-鸿坤花语墅,朝阳,148.00㎡,南 北,3室2厅2卫,21000,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1785612588701188096,2025/12/8 20:31
44,整租·建安里小区 3室2厅 南/西/北,https://bj.lianjia.com/zufang/BJ1775084729381421056.html,昌平-东关-建安里小区,昌平,113.66㎡,南 西 北,3室2厅1卫,5000,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1775084729381421056,2025/12/8 20:31
45,整租·首开智慧社 1房间 东,https://bj.lianjia.com/zufang/BJ2109212284663365632.html,昌平-回龙观-首开智慧社,昌平,51.00㎡,东,1房间1卫,4750,精装,贝壳优选,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ2109212284663365632,2025/12/8 20:31
46,独栋·天盛嘉寓 青橙社区运河商务区店 【可短租】可月付，直租，宠物友好，配电车，采光 1室1厅,https://bj.lianjia.com/apartment/100422.html,仅剩1间,仅剩1间,35.00㎡,1间在租,1室1厅1卫,1799,精装,天盛嘉寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,855061,2025/12/8 20:31
47,整租·景龙国际 2室1厅 东/西,https://bj.lianjia.com/zufang/BJ1780211437851901952.html,朝阳-奥林匹克公园-景龙国际,朝阳,126.54㎡,东 西,2室1厅1卫,8100,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1780211437851901952,2025/12/8 20:31
48,整租·松榆西里 2室1厅 南/北,https://bj.lianjia.com/zufang/BJ1779524087765270528.html,朝阳-潘家园-松榆西里,朝阳,59.00㎡,南 北,2室1厅1卫,6000,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1779524087765270528,2025/12/8 20:31
49,整租·运河家园 2室1厅 南/北,https://bj.lianjia.com/zufang/BJ2109198208600113152.html,通州-武夷花园-运河家园,通州,90.57㎡,南 北,2室1厅1卫,2700,精装,贝壳优选,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ2109198208600113152,2025/12/8 20:31
50,整租·人济山庄 3室2厅 东南,https://bj.lianjia.com/zufang/BJ1781266250844864512.html,海淀-紫竹桥-人济山庄,海淀,153.00㎡,东南,3室2厅2卫,22000,官方核验,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1781266250844864512,2025/12/8 20:31
51,整租·大兴金茂悦 2室1厅 南,https://bj.lianjia.com/zufang/BJ1783793220853956608.html,大兴-南中轴机场商务区-大兴金茂悦,大兴,74.00㎡,南,2室1厅1卫,3200,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1783793220853956608,2025/12/8 20:31
52,整租·新光大中心 2房间 南,https://bj.lianjia.com/zufang/BJ2109181901779501056.html,通州-万达-新光大中心,通州,44.09㎡,南,2房间1卫,4200,精装,贝壳优选,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ2109181901779501056,2025/12/8 20:31
53,整租·新天第 4室2厅 东南/南/西南,https://bj.lianjia.com/zufang/BJ1786279135685902336.html,朝阳-国展-新天第,朝阳,220.00㎡,东南 南 西南,4室2厅1卫,18500,官方核验,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1786279135685902336,2025/12/8 20:31
54,整租·京润水上花园别墅 3室1厅 复式 南/北,https://bj.lianjia.com/zufang/BJ1785540072154595328.html,朝阳-燕莎-京润水上花园别墅,朝阳,98.75㎡,南 北,3室1厅2卫,20000,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1785540072154595328,2025/12/8 20:31
55,整租·金隅通和园 2室1厅 南/北,https://bj.lianjia.com/zufang/BJ2109202024070381568.html,通州-临河里-金隅通和园,通州,88.31㎡,南 北,2室1厅1卫,3000,精装,贝壳优选,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ2109202024070381568,2025/12/8 20:31
56,整租·西园 2室1厅 南,https://bj.lianjia.com/zufang/BJ1786960781250658304.html,怀柔-怀柔-西园,怀柔,52.87㎡,南,2室1厅1卫,1800,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1786960781250658304,2025/12/8 20:31
57,独栋·荔屋公寓 常营店 短租甩卖！常营地铁700米 免费健身房 无中介费 1室1厅,https://bj.lianjia.com/apartment/83359.html,仅剩2间,仅剩2间,30.00㎡,2间在租,1室1厅1卫,2999-3900,精装,荔屋公寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,705394,2025/12/8 20:31
58,整租·景馨园 2室1厅 南/北,https://bj.lianjia.com/zufang/BJ2109211610286391296.html,丰台-马家堡-景馨园,丰台,89.52㎡,南 北,2室1厅1卫,5500,精装,贝壳优选,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ2109211610286391296,2025/12/8 20:31
59,整租·车站南里 2室1厅 南/北,https://bj.lianjia.com/zufang/BJ1788543292804169728.html,大兴-黄村火车站-车站南里,大兴,77.58㎡,南 北,2室1厅1卫,3000,官方核验,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1788543292804169728,2025/12/8 20:31
60,独栋·荔屋公寓 常营店 6号线近地铁 长楹天街 免费健身房 无中介费 落地窗 限时特价 1室1厅,https://bj.lianjia.com/apartment/83359.html,仅剩3间,仅剩3间,25.00-33.00㎡,3间在租,1室1厅1卫,3700-4200,精装,荔屋公寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,735953,2025/12/8 20:31
61,整租·于家园二区南院 3室1厅 东/西,https://bj.lianjia.com/zufang/BJ1786624495675506688.html,怀柔-怀柔-于家园二区南院,怀柔,91.11㎡,东 西,3室1厅1卫,2000,官方核验 | 精装,链家,"https://image1.ljcdn.com/110000-inspection/pc1_1NnpkmMsp.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",BJ1786624495675506688,2025/12/8 20:31
62,整租·北街家园八区 2室1厅 南,https://bj.lianjia.com/zufang/BJ1966352383424331776.html,昌平-沙河-北街家园八区,昌平,63.00㎡,南,2室1厅1卫,4000,,贝壳优选,https://image1.ljcdn.com/lease-image/house/a7ec1f6e9b682756f847bb6062219e22.jpeg.250x182.jpg,BJ1966352383424331776,2025/12/8 20:31
63,整租·中泽雅园 2室1厅 复式 南/北,https://bj.lianjia.com/zufang/BJ1788895482349617152.html,通州-九棵树(家乐福)-中泽雅园,通州,100.32㎡,南 北,2室1厅1卫,3700,官方核验,链家,"https://image1.ljcdn.com/110000-inspection/dbedf385-69c1-4b87-a390-68b6e08d98dc_1000.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",BJ1788895482349617152,2025/12/8 20:31
64,整租·时代风帆大厦 3室1厅 东南,https://bj.lianjia.com/zufang/BJ1791773245641326592.html,丰台-马家堡-时代风帆大厦,丰台,160.00㎡,东南,3室1厅1卫,11800,官方核验,链家,"https://image1.ljcdn.com/110000-inspection/pc1_JwuYdWp8q.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",BJ1791773245641326592,2025/12/8 20:31
65,整租·新光大中心 2房间 南,https://bj.lianjia.com/zufang/BJ2109181901779501056.html,通州-万达-新光大中心,通州,44.09㎡,南,2房间1卫,4200,精装,贝壳优选,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=2025120112060559d,BJ2109181901779501056,2025/12/8 20:31
66,独栋·安家和美 立水桥地铁站店 低价好房，整租，独卫浴，有空调，可短租，可长住 1室1厅,https://bj.lianjia.com/apartment/73157.html,仅剩1间,仅剩1间,20.00㎡,1间在租,1室1厅1卫,2450,精装,安家和美,https://image1.ljcdn.com/wanjia/e02159f3bc1f13a1821a42cf9a56e472-1763200946071/891aadf59989bc0e1d125250602f33de.jpg.250x182.jpg,848545,2025/12/8 20:31
67,整租·瑞悦府 5室2厅 南/北,https://bj.lianjia.com/zufang/BJ1790991485160652800.html,朝阳-中央别墅区-瑞悦府,朝阳,245.50㎡,南 北,5室2厅3卫,35000,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1790991485160652800,2025/12/8 20:31
68,整租·金蝉北里21号院 2室1厅 南/北,https://bj.lianjia.com/zufang/BJ1792564209230282752.html,朝阳-垡头-金蝉北里21号院,朝阳,50.32㎡,南 北,2室1厅1卫,3900,官方核验,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1792564209230282752,2025/12/8 20:31
69,整租·金隅通和园 2室1厅 南/北,https://bj.lianjia.com/zufang/BJ2109202024070381568.html,通州-临河里-金隅通和园,通州,88.31㎡,南 北,2室1厅1卫,3000,精装,贝壳优选,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ2109202024070381568,2025/12/8 20:31
70,整租·海淀幸福里 3室2厅 东/南/北,https://bj.lianjia.com/zufang/BJ1787421298104729600.html,海淀-海淀北部新区-海淀幸福里,海淀,198.50㎡,东 南 北,3室2厅3卫,26000,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1787421298104729600,2025/12/8 20:31
71,整租·北科建泰禾丽春湖院子 4室2厅 复式 东/西,https://bj.lianjia.com/zufang/BJ1787765614786379776.html,昌平-沙河-北科建泰禾丽春湖院子,昌平,720.64㎡,东 西,4室2厅4卫,25000,官方核验,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1787765614786379776,2025/12/8 20:31
72,整租·运河家园 2室1厅 南/北,https://bj.lianjia.com/zufang/BJ2109198208600113152.html,通州-武夷花园-运河家园,通州,90.57㎡,南 北,2室1厅1卫,2700,精装,贝壳优选,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ2109198208600113152,2025/12/8 20:31
73,整租·葛布店东里 3室1厅 南/北,https://bj.lianjia.com/zufang/BJ1786608859083702272.html,通州-果园-葛布店东里,通州,86.00㎡,南 北,3室1厅1卫,3100,官方核验,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1786608859083702272,2025/12/8 20:31
74,整租·大红罗厂3号院 3室1厅 南/北,https://bj.lianjia.com/zufang/BJ1786645190132367360.html,西城-西四-大红罗厂3号院,西城,139.00㎡,南 北,3室1厅1卫,23000,官方核验 | 精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ1786645190132367360,2025/12/8 20:31
75,整租·新外大街甲28号 2室1厅 东/西,https://bj.lianjia.com/zufang/BJ2109211134107058176.html,西城-德胜门-新外大街甲28号,西城,47.10㎡,东 西,2室1厅1卫,5200,,贝壳优选,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,BJ2109211134107058176,2025/12/8 20:31
76,独栋·安家和美 大屯路东地铁站店 无中介，整租房，单独卫浴，可做饭当天看当天住 1室1厅,https://bj.lianjia.com/apartment/73166.html,仅剩1间,仅剩1间,35.00㎡,1间在租,1室1厅1卫,3800,精装,安家和美,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,852402,2025/12/8 20:31
