序号,城市,区域,详细区域,区域分类,标题,链接,面积,朝向,房间信息,价格(元/月),标签,品牌,图片链接,房源编码,抓取时间
22,深圳,罗湖区,罗湖区-黄贝岭-鸿业苑一期,罗湖区,整租·鸿业苑一期 2室2厅 西南,https://sz.lianjia.com/zufang/SZ2012118002958336000.html,97.00㎡,西南,2室2厅1卫,8800,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,SZ2012118002958336000,2025/12/9 11:14
23,深圳,罗湖区,仅剩4间,仅剩4间,独栋·八号季公寓 洪湖店 【公寓直租】洪湖复式，酒店式公寓，24小时有人值守，安全舒适 1室1厅,https://sz.lianjia.com/apartment/18205.html,28.00-35.00㎡,4间在租,1室1厅1卫,2700-2800,精装,八号季公寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,387120,2025/12/9 11:14
24,深圳,罗湖区,罗湖区-黄贝岭-益田御龙华府,罗湖区,整租·益田御龙华府 3室2厅 西北,https://sz.lianjia.com/zufang/SZ2013238805129068544.html,110.00㎡,西北,3室2厅2卫,13000,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,SZ2013238805129068544,2025/12/9 11:14
25,深圳,罗湖区,仅剩3间,仅剩3间,独栋·八号季公寓 洪湖店 【年底限时优惠】租6个月送网络，朝阳单间！无中介费 开间,https://sz.lianjia.com/apartment/18205.html,23.00-25.00㎡,3间在租,1室0厅1卫,2480-2900,精装,八号季公寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,387067,2025/12/9 11:14
26,深圳,罗湖区,20.00-25.00㎡,20,独栋·八号季公寓 洪湖店 【7号线洪湖站600M】押1付1·商住公寓单间！6个月起租！可养宠物 开间,https://sz.lianjia.com/apartment/18205.html,6间在租,1室0厅1卫,,2610-2700,精装,八号季公寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,387165,2025/12/9 11:14
27,深圳,罗湖区,仅剩3间,仅剩3间,独栋·八号季公寓 洪湖店 【7号线洪湖600M】水贝旁！短租单身公寓！押一付一 1室1厅,https://sz.lianjia.com/apartment/18205.html,20.00-28.00㎡,3间在租,1室1厅1卫,2600-3280,精装,八号季公寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,262393,2025/12/9 11:14
28,深圳,罗湖区,仅剩4间,仅剩4间,独栋·八号季公寓 洪湖店 近水贝小清新复式一房 灵动loft双倍空间 采光好 拎包入住 1室1厅,https://sz.lianjia.com/apartment/18205.html,35.00-45.00㎡,4间在租,1室1厅1卫,3900-4100,精装,八号季公寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,262401,2025/12/9 11:14
29,深圳,罗湖区,30.00-35.00㎡,30,独栋·八号季公寓 洪湖店 【押一付一】洪湖地铁口好房 半年起租，优惠限时领取 1室1厅,https://sz.lianjia.com/apartment/18205.html,7间在租,1室1厅1卫,,3460,精装,八号季公寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,262366,2025/12/9 11:14
30,深圳,罗湖区,仅剩1间,仅剩1间,独栋·7号时尚公寓 B店 【隔音好】步梯！1站莲塘口岸！免中介费！精装修独立卫浴 1室1厅,https://sz.lianjia.com/apartment/43681.html,28.00㎡,1间在租,1室1厅1卫,2420,精装,7号时尚公寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,849354,2025/12/9 11:14
31,深圳,罗湖区,罗湖区-布心-阳光明居,罗湖区,整租·阳光明居 2室1厅 北,https://sz.lianjia.com/zufang/SZ1958027582502862848.html,55.00㎡,北,2室1厅2卫,4100,精装,贝壳优选,https://image1.ljcdn.com/lease-image/house/e2e0f40e3a9dbf4f80b45ed8068726b6.jpeg.250x182.jpg,SZ1958027582502862848,2025/12/9 11:15
32,深圳,罗湖区,罗湖区-清水河-龙园山庄,罗湖区,整租·龙园山庄 3室2厅 南,https://sz.lianjia.com/zufang/SZ1962915612069986304.html,110.00㎡,南,3室2厅2卫,4200,精装,贝壳优选,"https://image1.ljcdn.com/110000-inspection/pc0_FceiDBPnh.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",SZ1962915612069986304,2025/12/9 11:15
33,深圳,罗湖区,仅剩1间,仅剩1间,独栋·公寓 京基天珺府店 精装1房1厅 1室1厅,https://sz.lianjia.com/apartment/102063.html,50.00㎡,1间在租,1室1厅1卫,4000,精装,公寓,https://image1.ljcdn.com/wanjia/005456201be86533207b9b5e4977d11c-1764939844655/59c84da0edcd1bdb00f475cc0eb72050.jpg.250x182.jpg,870948,2025/12/9 11:15
34,深圳,罗湖区,罗湖区-地王-和平广场,罗湖区,整租·和平广场 3室1厅 西,https://sz.lianjia.com/zufang/SZ1948591586715631616.html,84.00㎡,西,3室1厅2卫,6000,精装,贝壳优选,https://image1.ljcdn.com/lease-image/house/795922a3-0fcc-47de-a7c8-7d4690098f96.jpg.250x182.jpg,SZ1948591586715631616,2025/12/9 11:15
35,深圳,罗湖区,仅剩1间,仅剩1间,独栋·稳住公寓 沿河店 精装大单间 近罗湖口岸 不短租 开间,https://sz.lianjia.com/apartment/101255.html,33.00㎡,1间在租,1室0厅1卫,4050,精装,稳住公寓,https://image1.ljcdn.com/wanjia/86af6ac55440599b81215d6e263cf113-1763877401689/6706b97e300a7f735a0069436dbbd131.jpg.250x182.jpg,864184,2025/12/9 11:15
36,深圳,罗湖区,罗湖区-黄贝岭-汇鑫花园,罗湖区,整租·汇鑫花园 2室2厅 南,https://sz.lianjia.com/zufang/SZ2014970422130376704.html,65.00㎡,南,2室2厅1卫,5800,精装,链家,"https://image1.ljcdn.com/110000-inspection/pc1_ZMzSTIQ2x.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",SZ2014970422130376704,2025/12/9 11:15
37,深圳,罗湖区,罗湖区-莲塘-惠名花园,罗湖区,整租·惠名花园 3室2厅 东南/西南,https://sz.lianjia.com/zufang/SZ1982103276627165184.html,87.50㎡,东南 西南,3室2厅2卫,6500,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,SZ1982103276627165184,2025/12/9 11:15
38,深圳,罗湖区,仅剩1间,仅剩1间,独栋·安居乐寓 莲塘仙湖店 【年底特惠】毕业生折扣 押一付一 近地铁口 35-1栋01 开间,https://sz.lianjia.com/apartment/80675.html,16.00㎡,1间在租,1室0厅1卫,1267,精装,安居乐寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,725848,2025/12/9 11:15
39,深圳,罗湖区,罗湖区-笋岗-中洲坊创意中心,罗湖区,整租·中洲坊创意中心 2室1厅 南,https://sz.lianjia.com/zufang/SZ2006231824438657024.html,90.00㎡,南,2室1厅1卫,5600,精装,贝壳优选,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,SZ2006231824438657024,2025/12/9 11:15
40,深圳,罗湖区,仅剩2间,仅剩2间,独栋·安居乐寓 莲塘仙湖店 【一居室带阳台】稀缺户型 年底特价 民用水电 35-1栋03 1室1厅,https://sz.lianjia.com/apartment/80675.html,30.00㎡,2间在租,1室1厅1卫,1964-1989,精装,安居乐寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,725850,2025/12/9 11:15
41,深圳,罗湖区,罗湖区-地王-电影大厦,罗湖区,整租·电影大厦 1室0厅 东,https://sz.lianjia.com/zufang/SZ1965741419960205312.html,38.00㎡,东,1室0厅1卫,3000,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,SZ1965741419960205312,2025/12/9 11:15
42,深圳,罗湖区,罗湖区-莲塘-萃峰阁,罗湖区,整租·萃峰阁 4室2厅 南,https://sz.lianjia.com/zufang/SZ1989296503927078912.html,228.63㎡,南,4室2厅2卫,26000,精装,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,SZ1989296503927078912,2025/12/9 11:15
43,深圳,罗湖区,仅剩1间,仅剩1间,独栋·河豚公寓 宝岗花园店 特价单间 短租勿扰 开间,https://sz.lianjia.com/apartment/97548.html,25.00㎡,1间在租,1室0厅1卫,2300,,河豚公寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,828926,2025/12/9 11:15
44,深圳,罗湖区,罗湖区-清水河-龙园山庄,罗湖区,整租·龙园山庄 3室2厅 南,https://sz.lianjia.com/zufang/SZ1991145040948232192.html,106.00㎡,南,3室2厅2卫,5500,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,SZ1991145040948232192,2025/12/9 11:15
45,深圳,罗湖区,罗湖区-黄贝岭-景贝南小区,罗湖区,合租·景贝南小区 4居室 北卧,https://sz.lianjia.com/zufang/SZ2044474831600091136.html,6.30㎡,北,4室1厅1卫,1190,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,SZ2044474831600091136,2025/12/9 11:15
46,深圳,罗湖区,罗湖区-地王-荣华里,罗湖区,整租·荣华里 5室2厅 南,https://sz.lianjia.com/zufang/SZ2001580895638650880.html,100.00㎡,南,5室2厅1卫,5500,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,SZ2001580895638650880,2025/12/9 11:15
47,深圳,罗湖区,仅剩1间,仅剩1间,独栋·寓见 华讯中心 近福田 罗湖口岸红岭华讯中心两房一厅 落地窗民水民电 2室1厅,https://sz.lianjia.com/apartment/88218.html,90.00㎡,1间在租,2室1厅1卫,5400,精装,寓见,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,845069,2025/12/9 11:15
48,深圳,罗湖区,罗湖区-笋岗-笋岗大厦,罗湖区,整租·笋岗大厦 1室1厅 南,https://sz.lianjia.com/zufang/SZ2000079331543482368.html,58.00㎡,南,1室1厅1卫,4200,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,SZ2000079331543482368,2025/12/9 11:15
49,深圳,罗湖区,仅剩2间,仅剩2间,独栋·世和公寓 布心店 实惠两房一厅车位充足 2室1厅,https://sz.lianjia.com/apartment/84232.html,65.00㎡,2间在租,2室1厅1卫,3514-3614,精装,世和公寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,709421,2025/12/9 11:15
50,深圳,罗湖区,罗湖区-翠竹-马古岭小区,罗湖区,整租·马古岭小区 3室2厅 南,https://sz.lianjia.com/zufang/SZ2000438270881693696.html,79.27㎡,南,3室2厅1卫,4900,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,SZ2000438270881693696,2025/12/9 11:15
51,深圳,罗湖区,仅剩1间,仅剩1间,独栋·铂瑞斯公寓 独树阳光里公寓 独树阳光里复式一房带阳台，水贝地铁站，近洪湖公园，近珠宝商圈 1室1厅,https://sz.lianjia.com/apartment/89247.html,35.00㎡,1间在租,1室1厅1卫,3100,精装,铂瑞斯公寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,786572,2025/12/9 11:15
52,深圳,罗湖区,罗湖区-春风路-万科深南广场,罗湖区,整租·万科深南广场 1室1厅 南/北,https://sz.lianjia.com/zufang/SZ2003708815781920768.html,216.57㎡,南 北,1室1厅1卫,25988,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,SZ2003708815781920768,2025/12/9 11:15
53,深圳,罗湖区,仅剩2间,仅剩2间,独栋·世和公寓 布心店 高层俯瞰山景一居室 1室1厅,https://sz.lianjia.com/apartment/84232.html,35.00㎡,2间在租,1室1厅1卫,2780-3080,精装,世和公寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,709428,2025/12/9 11:15
54,深圳,罗湖区,罗湖区-春风路-万科深南广场,罗湖区,整租·万科深南广场 1室1厅 南/北,https://sz.lianjia.com/zufang/SZ2003706351733178368.html,161.50㎡,南 北,1室1厅1卫,19380,,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,SZ2003706351733178368,2025/12/9 11:15
55,深圳,罗湖区,仅剩1间,仅剩1间,独栋·安居乐寓 莲塘仙湖店 直租 2/8号线地铁口 莲塘口岸 毕业生特惠 53栋06 开间,https://sz.lianjia.com/apartment/80675.html,25.00㎡,1间在租,1室0厅1卫,1675,精装,安居乐寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,709044,2025/12/9 11:15
56,深圳,罗湖区,罗湖区-百仕达-新港鸿花园,罗湖区,整租·新港鸿花园 2室1厅 北,https://sz.lianjia.com/zufang/SZ1919390965555003392.html,63.81㎡,北,2室1厅1卫,4960,精装,自如,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,SZ1919390965555003392,2025/12/9 11:15
57,深圳,罗湖区,罗湖区-清水河-金祥都市花园,罗湖区,整租·金祥都市花园 3室2厅 南,https://sz.lianjia.com/zufang/SZ1954586992238919680.html,71.00㎡,南,3室2厅1卫,4800,,贝壳优选,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,SZ1954586992238919680,2025/12/9 11:15
58,深圳,罗湖区,罗湖区-莲塘-名骏豪庭,罗湖区,整租·名骏豪庭 2室2厅 北,https://sz.lianjia.com/zufang/SZ1787376602535952384.html,69.80㎡,北,2室2厅1卫,4000,,贝壳优选,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,SZ1787376602535952384,2025/12/9 11:15
59,深圳,罗湖区,罗湖区-地王-中航凯特公寓,罗湖区,整租·中航凯特公寓 1室0厅 东,https://sz.lianjia.com/zufang/SZ1800040015321890816.html,28.08㎡,东,1室0厅1卫,2400,精装,贝壳优选,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,SZ1800040015321890816,2025/12/9 11:15
60,深圳,罗湖区,罗湖区-翠竹-鹏公馆,罗湖区,整租·鹏公馆 1室1厅 西,https://sz.lianjia.com/zufang/SZ1985348693162721280.html,28.31㎡,西,1室1厅1卫,2950,精装,贝壳优选,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,SZ1985348693162721280,2025/12/9 11:15
61,深圳,罗湖区,仅剩1间,仅剩1间,独栋·家缘 华讯中心 3/9号线红岭地铁站，盒马鲜生旁，华讯中心170平大三房两卫 3室2厅,https://sz.lianjia.com/apartment/78360.html,170.00㎡,1间在租,3室2厅1卫,8200,精装,家缘,https://image1.ljcdn.com/wanjia/da02a267a61452c1a19cacc46ce1be3b-1761967658605/4cf8b83834fc8c6d18043a685bc3e4ca.jpg.250x182.jpg,681537,2025/12/9 11:15
62,深圳,罗湖区,罗湖区-莲塘-鹏基公寓,罗湖区,整租·鹏基公寓 1室0厅 北,https://sz.lianjia.com/zufang/SZ1998962186533208064.html,30.45㎡,北,1室0厅1卫,2000,精装,贝壳优选,"https://image1.ljcdn.com/110000-inspection/pc1_oiJU6tkVA.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",SZ1998962186533208064,2025/12/9 11:15
63,深圳,罗湖区,罗湖区-东门-天玺1号,罗湖区,整租·天玺1号 3室1厅 西,https://sz.lianjia.com/zufang/SZ2027246541839794176.html,68.00㎡,西,3室1厅1卫,7800,精装,,"https://image1.ljcdn.com/110000-inspection/pc1_sU3xvpHHX.jpg!m_fill,w_250,h_182,l_flianjia_black,o_auto",SZ2027246541839794176,2025/12/9 11:15
64,深圳,罗湖区,罗湖区-黄贝岭-广东基础楼,罗湖区,整租·广东基础楼 2室3厅 南/北,https://sz.lianjia.com/zufang/SZ2023717488503554048.html,80.19㎡,南 北,2室3厅1卫,5500,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,SZ2023717488503554048,2025/12/9 11:15
65,深圳,罗湖区,罗湖区-翠竹-茂业德弘天下,罗湖区,整租·茂业德弘天下 2室1厅 南,https://sz.lianjia.com/zufang/SZ1931692373893447680.html,69.00㎡,南,2室1厅1卫,6600,精装,贝壳优选,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,SZ1931692373893447680,2025/12/9 11:15
66,深圳,罗湖区,仅剩3间,仅剩3间,独栋·世和公寓 布心店 可做饭车位足四房一厅 4室1厅,https://sz.lianjia.com/apartment/84232.html,85.00㎡,3间在租,4室1厅1卫,4714-5380,精装,世和公寓,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,709431,2025/12/9 11:15
67,深圳,罗湖区,罗湖区-清水河-红岗花园,罗湖区,整租·红岗花园 1室0厅 南,https://sz.lianjia.com/zufang/SZ2026594098659459072.html,32.00㎡,南,1室0厅1卫,2300,,链家,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,SZ2026594098659459072,2025/12/9 11:15
68,深圳,罗湖区,罗湖区-万象城-城市天地广场,罗湖区,整租·城市天地广场 1室1厅 北,https://sz.lianjia.com/zufang/SZ2029060150429483008.html,52.50㎡,北,1室1厅1卫,6500,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,SZ2029060150429483008,2025/12/9 11:15
69,深圳,罗湖区,罗湖区-万象城-世界金融中心,罗湖区,整租·世界金融中心 2室1厅 复式 东南/西南,https://sz.lianjia.com/zufang/SZ2035687288742084608.html,62.93㎡,东南 西南,2室1厅2卫,5200,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,SZ2035687288742084608,2025/12/9 11:15
70,深圳,罗湖区,罗湖区-万象城-世界金融中心,罗湖区,整租·世界金融中心 2室1厅 复式 南,https://sz.lianjia.com/zufang/SZ2035683511968464896.html,62.93㎡,南,2室1厅2卫,5200,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,SZ2035683511968464896,2025/12/9 11:15
71,深圳,罗湖区,罗湖区-东门-万科彩园,罗湖区,整租·万科彩园 5室2厅 南,https://sz.lianjia.com/zufang/SZ2034608756842561536.html,223.00㎡,南,5室2厅3卫,16500,精装,,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,SZ2034608756842561536,2025/12/9 11:15
72,深圳,罗湖区,罗湖区-黄贝岭-怡泰大厦,罗湖区,整租·怡泰大厦 3室2厅 南,https://sz.lianjia.com/zufang/SZ1938921529924386816.html,99.65㎡,南,3室2厅1卫,6500,精装,贝壳优选,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182.png?_v=2025120112060559d,SZ1938921529924386816,2025/12/9 11:15
